iter	Passed	Remaining
0	12	12040
1	26	13328
2	40	13542
3	54	13489
4	68	13559
5	82	13739
6	98	13960
7	114	14141
8	129	14278
9	147	14627
10	162	14629
11	176	14518
12	191	14511
13	206	14519
14	220	14476
15	232	14287
16	247	14327
17	262	14294
18	275	14240
19	291	14302
20	306	14309
21	317	14122
22	328	13962
23	343	13963
24	360	14040
25	373	14001
26	386	13932
27	401	13929
28	415	13911
29	430	13929
30	444	13892
31	458	13858
32	470	13797
33	485	13802
34	500	13806
35	515	13793
36	529	13785
37	541	13712
38	557	13733
39	572	13742
40	585	13698
41	601	13714
42	614	13683
43	628	13655
44	642	13632
45	656	13621
46	670	13590
47	686	13610
48	700	13594
49	716	13613
50	730	13594
51	744	13581
52	761	13597
53	778	13633
54	792	13619
55	808	13620
56	820	13577
57	833	13540
58	847	13514
59	860	13478
60	873	13447
61	885	13401
62	901	13409
63	915	13387
64	931	13402
65	947	13402
66	958	13353
67	974	13356
68	990	13358
69	1002	13318
70	1016	13299
71	1028	13262
72	1043	13251
73	1059	13256
74	1073	13236
75	1088	13229
76	1103	13232
77	1118	13223
78	1133	13213
79	1147	13195
80	1159	13155
81	1174	13147
82	1187	13122
83	1203	13119
84	1215	13087
85	1229	13071
86	1244	13056
87	1256	13023
88	1270	13000
89	1284	12990
90	1297	12964
91	1311	12939
92	1325	12929
93	1339	12909
94	1355	12912
95	1370	12904
96	1385	12901
97	1402	12906
98	1419	12914
99	1435	12919
100	1450	12907
101	1464	12891
102	1476	12861
103	1491	12847
104	1507	12848
105	1519	12812
106	1534	12804
107	1548	12791
108	1565	12799
109	1582	12802
110	1597	12794
111	1612	12788
112	1630	12800
113	1645	12788
114	1660	12777
115	1675	12768
116	1689	12753
117	1707	12761
118	1723	12758
119	1738	12748
120	1752	12730
121	1767	12723
122	1783	12716
123	1799	12709
124	1811	12683
125	1824	12657
126	1839	12645
127	1853	12628
128	1869	12621
129	1881	12593
130	1895	12576
131	1908	12548
132	1920	12518
133	1933	12497
134	1947	12478
135	1962	12467
136	1978	12464
137	1993	12452
138	2005	12420
139	2021	12420
140	2036	12408
141	2051	12398
142	2067	12393
143	2082	12378
144	2096	12361
145	2114	12367
146	2127	12346
147	2146	12354
148	2160	12340
149	2179	12351
150	2194	12340
151	2213	12349
152	2230	12347
153	2246	12341
154	2260	12325
155	2274	12305
156	2290	12300
157	2305	12286
158	2321	12278
159	2333	12250
160	2348	12236
161	2362	12221
162	2380	12224
163	2396	12218
164	2411	12205
165	2427	12198
166	2442	12184
167	2457	12171
168	2471	12151
169	2486	12138
170	2502	12130
171	2514	12106
172	2529	12094
173	2544	12081
174	2560	12071
175	2575	12059
176	2592	12055
177	2607	12039
178	2620	12021
179	2635	12007
180	2648	11985
181	2661	11964
182	2676	11951
183	2690	11933
184	2706	11924
185	2721	11908
186	2736	11899
187	2749	11875
188	2765	11865
189	2779	11850
190	2795	11840
191	2809	11825
192	2826	11817
193	2842	11807
194	2855	11788
195	2868	11767
196	2884	11755
197	2899	11743
198	2915	11733
199	2930	11721
200	2945	11709
201	2959	11691
202	2975	11681
203	2987	11658
204	3002	11642
205	3018	11632
206	3033	11621
207	3048	11606
208	3063	11593
209	3078	11582
210	3093	11566
211	3105	11544
212	3121	11532
213	3137	11524
214	3150	11503
215	3166	11492
216	3181	11480
217	3196	11466
218	3210	11448
219	3225	11436
220	3241	11425
221	3257	11415
222	3272	11402
223	3289	11394
224	3302	11376
225	3318	11365
226	3333	11350
